point_id,section,requirement,primary_ticket,ticket_title,phase,verification_id,coverage_rule
1,1. Core architecture,"Jev as Hermes’s decision engine, not merely an optional decision tool.",T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0001,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
2,1. Core architecture,Hermes remains the reasoning engine.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0002,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
3,1. Core architecture,Hermes remains the execution engine.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0003,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
4,1. Core architecture,Jev becomes the decision/control plane.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0004,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
5,1. Core architecture,Jev operates as an asynchronous tandem process.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0005,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
6,1. Core architecture,Jev removed from the normal synchronous critical path.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0006,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
7,1. Core architecture,Jev operates as a parallel supervisory process.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0007,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
8,1. Core architecture,Jev operates as a decision auditor.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0008,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
9,1. Core architecture,Jev operates as a decision corrector.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0009,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
10,1. Core architecture,Jev operates as a high-confidence exception generator.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0010,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
11,1. Core architecture,Jev supervision attached to selected Hermes turns.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0011,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
12,1. Core architecture,Jev supervision can persist for the entire lifetime of a long-running autonomous turn.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0012,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
13,1. Core architecture,"A supervised turn may last seconds, minutes, or hours without changing the supervision model.",T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0013,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
14,1. Core architecture,A turn may contain hundreds or thousands of Hermes events without creating equivalent Jev calls.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0014,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
