point_id,section,requirement,primary_ticket,ticket_title,phase,verification_id,coverage_rule,implementation_status,implementation_artifact,implementation_verification
1,1. Core architecture,"Jev as Hermes’s decision engine, not merely an optional decision tool.",T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0001,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
2,1. Core architecture,Hermes remains the reasoning engine.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0002,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
3,1. Core architecture,Hermes remains the execution engine.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0003,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
4,1. Core architecture,Jev becomes the decision/control plane.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0004,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
5,1. Core architecture,Jev operates as an asynchronous tandem process.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0005,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
6,1. Core architecture,Jev removed from the normal synchronous critical path.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0006,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
7,1. Core architecture,Jev operates as a parallel supervisory process.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0007,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
8,1. Core architecture,Jev operates as a decision auditor.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0008,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
9,1. Core architecture,Jev operates as a decision corrector.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0009,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
10,1. Core architecture,Jev operates as a high-confidence exception generator.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0010,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
11,1. Core architecture,Jev supervision attached to selected Hermes turns.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0011,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
12,1. Core architecture,Jev supervision can persist for the entire lifetime of a long-running autonomous turn.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0012,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
13,1. Core architecture,"A supervised turn may last seconds, minutes, or hours without changing the supervision model.",T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0013,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
14,1. Core architecture,A turn may contain hundreds or thousands of Hermes events without creating equivalent Jev calls.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0014,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
15,1. Core architecture,Hermes continues executing while Jev evaluates.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0015,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
16,1. Core architecture,"Jev’s ~500+ ms network latency treated as oversight latency, not worker latency.",T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0016,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
17,1. Core architecture,No synchronous Jev micro-controller loop around ordinary Hermes actions.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0017,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
18,1. Core architecture,No Jev → action → Jev → action requirement for every action.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0018,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
19,1. Core architecture,Jev controls important forks while touching only a small fraction of individual Hermes operations.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0019,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
20,1. Core architecture,Jev calls concentrated around decision epochs rather than tool-call epochs.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0020,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
21,1. Core architecture,"When appropriate, one Jev call can combine verification, next-state selection, uncertainty assessment, and completion assessment.",T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0021,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
22,1. Core architecture,Existing jev_assess primitive reused/expanded for multi-question control assessments.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0022,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
23,1. Core architecture,New higher-level control assessment contract.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0023,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
24,1. Core architecture,New higher-level decision epoch contract.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0024,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
25,1. Core architecture,Decision supervision separate from ordinary assistant dialogue generation.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0025,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
26,2. Turn-level Jev admission,Every user prompt receives a unique turn_id.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0026,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
27,2. Turn-level Jev admission,The same user prompt can be sent to Hermes and the Jev admission system in parallel.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0027,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
28,2. Turn-level Jev admission,Hermes starts processing immediately.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0028,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
29,2. Turn-level Jev admission,Hermes does not wait for Jev admission before beginning work.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0029,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
30,2. Turn-level Jev admission,Dedicated Jev Turn Arbiter.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0030,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
31,2. Turn-level Jev admission,Dedicated turn-admission contract.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0031,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
32,2. Turn-level Jev admission,Suggested contract namespace: hermes/jev-turn-admission/v1.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0032,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
33,2. Turn-level Jev admission,Admission contract explicitly non-recursive.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0033,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
34,2. Turn-level Jev admission,Admission Jev call cannot cause another admission Jev call.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0034,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
35,2. Turn-level Jev admission,Turn arbiter predicts whether a meaningful decision plane exists.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0035,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
36,2. Turn-level Jev admission,Turn arbiter predicts whether a decision plane is likely to emerge before the turn completes.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0036,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
37,2. Turn-level Jev admission,Turn arbiter does not merely classify chat versus work.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0037,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
38,2. Turn-level Jev admission,Turn arbiter evaluates likelihood of materially different actions.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0038,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
39,2. Turn-level Jev admission,Turn arbiter evaluates likelihood of materially different strategies.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0039,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
40,2. Turn-level Jev admission,Turn arbiter evaluates likelihood of recovery decisions.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0040,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
41,2. Turn-level Jev admission,Turn arbiter evaluates likelihood of completion judgments.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0041,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
42,2. Turn-level Jev admission,Turn arbiter evaluates likelihood of resource-allocation decisions.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0042,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
43,2. Turn-level Jev admission,Turn arbiter evaluates likelihood of consequential operations.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0043,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
44,2. Turn-level Jev admission,Turn arbiter evaluates likelihood of genuine routing choices.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0044,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
45,2. Turn-level Jev admission,Turn arbiter evaluates likelihood of meaningful human-escalation decisions.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0045,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
46,2. Turn-level Jev admission,Admission output includes OFF.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0046,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
47,2. Turn-level Jev admission,Admission output includes WATCH.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0047,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
48,2. Turn-level Jev admission,Admission output includes ON.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0048,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
49,2. Turn-level Jev admission,OFF means no active Jev nervous-system supervision.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0049,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
